Origin Airport,Destination Region Normalized,Year,Route,AIR_BERLIN_GROUP_Departures,LUFTHANSA_GROUP_Departures,LowCostCarrier_GROUP_Departures,NEW_ENTRANT_Departures,legacy_group_Departures,regional_and_others_Departures,AIR_BERLIN_GROUP_Market_Share,LUFTHANSA_GROUP_Market_Share,LowCostCarrier_GROUP_Market_Share,NEW_ENTRANT_Market_Share,legacy_group_Market_Share,regional_and_others_Market_Share
STR,EASTERN EUROPE,2016,STR → EASTERN EUROPE,0.0,1819.0,957.0,0.0,1567.0,0.0,0.0,0.4188349067464886,0.22035459359889478,0.0,0.36081049965461665,0.0
STR,EASTERN EUROPE,2017,STR → EASTERN EUROPE,319.0,1610.0,803.0,0.0,1835.0,0.0,0.06984891613750821,0.35252901248084084,0.17582658200131376,0.0,0.4017954893803372,0.0
STR,EASTERN EUROPE,2018,STR → EASTERN EUROPE,196.0,1934.0,714.0,27.0,1834.0,0.0,0.04165781083953241,0.4110520722635494,0.15175345377258237,0.005738575982996812,0.389798087141339,0.0
STR,EASTERN EUROPE,2019,STR → EASTERN EUROPE,215.0,2215.0,857.0,0.0,2367.0,0.0,0.038026176158471876,0.39175804740007075,0.1515741068270251,0.0,0.4186416696144323,0.0
STR,GULF/MIDDLE EAST,2015,STR → GULF/MIDDLE EAST,214.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
STR,GULF/MIDDLE EAST,2016,STR → GULF/MIDDLE EAST,61.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
STR,GULF/MIDDLE EAST,2019,STR → GULF/MIDDLE EAST,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
STR,NORTH AFRICA,2015,STR → NORTH AFRICA,0.0,48.0,26.0,0.0,0.0,0.0,0.0,0.6486486486486487,0.35135135135135137,0.0,0.0,0.0
STR,NORTH AFRICA,2016,STR → NORTH AFRICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STR,NORTH AFRICA,2017,STR → NORTH AFRICA,0.0,61.0,8.0,0.0,0.0,0.0,0.0,0.8840579710144928,0.11594202898550725,0.0,0.0,0.0
STR,NORTH AFRICA,2018,STR → NORTH AFRICA,0.0,97.0,1.0,0.0,0.0,0.0,0.0,0.9897959183673469,0.01020408163265306,0.0,0.0,0.0
STR,NORTH AFRICA,2019,STR → NORTH AFRICA,1.0,99.0,114.0,0.0,0.0,0.0,0.004672897196261682,0.46261682242990654,0.5327102803738317,0.0,0.0,0.0
STR,WESTERN EUROPE,2015,STR → WESTERN EUROPE,5617.0,12826.0,4065.0,0.0,846.0,0.0,0.24051554337586709,0.54919928063715,0.17406011818103964,0.0,0.03622505780594331,0.0
STR,WESTERN EUROPE,2016,STR → WESTERN EUROPE,4117.0,12823.0,6371.0,0.0,811.0,0.0,0.17067407345991212,0.5315894204460658,0.2641157449631042,0.0,0.03362076113091783,0.0
STR,WESTERN EUROPE,2017,STR → WESTERN EUROPE,7031.0,10274.0,4775.0,3.0,890.0,0.0,0.30605493405301876,0.44722065032864666,0.2078526966438863,0.0001305880816610804,0.03874113089278718,0.0
STR,WESTERN EUROPE,2018,STR → WESTERN EUROPE,4686.0,13562.0,4642.0,213.0,1257.0,0.0,0.19236453201970444,0.5567323481116585,0.1905582922824302,0.008743842364532019,0.051600985221674875,0.0
STR,WESTERN EUROPE,2019,STR → WESTERN EUROPE,4698.0,12899.0,4982.0,0.0,3435.0,0.0,0.18059506419620205,0.4958483893288229,0.1915122626278158,0.0,0.13204428384715922,0.0
SXF,EASTERN EUROPE,2015,SXF → EASTERN EUROPE,0.0,0.0,1042.0,0.0,863.0,0.0,0.0,0.0,0.546981627296588,0.0,0.45301837270341205,0.0
SXF,EASTERN EUROPE,2016,SXF → EASTERN EUROPE,0.0,0.0,2179.0,0.0,1071.0,0.0,0.0,0.0,0.6704615384615384,0.0,0.32953846153846156,0.0
SXF,EASTERN EUROPE,2017,SXF → EASTERN EUROPE,0.0,0.0,2926.0,0.0,1071.0,0.0,0.0,0.0,0.7320490367775832,0.0,0.2679509632224168,0.0
SXF,EASTERN EUROPE,2018,SXF → EASTERN EUROPE,0.0,0.0,3782.0,70.0,1071.0,0.0,0.0,0.0,0.7682307536055251,0.014218972171440178,0.21755027422303475,0.0
SXF,EASTERN EUROPE,2019,SXF → EASTERN EUROPE,0.0,0.0,3580.0,88.0,1071.0,0.0,0.0,0.0,0.7554336357881409,0.018569318421607934,0.2259970457902511,0.0
SXF,GULF/MIDDLE EAST,2015,SXF → GULF/MIDDLE EAST,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,GULF/MIDDLE EAST,2016,SXF → GULF/MIDDLE EAST,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,GULF/MIDDLE EAST,2017,SXF → GULF/MIDDLE EAST,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,GULF/MIDDLE EAST,2018,SXF → GULF/MIDDLE EAST,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,GULF/MIDDLE EAST,2019,SXF → GULF/MIDDLE EAST,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,NORTH AFRICA,2015,SXF → NORTH AFRICA,0.0,3.0,155.0,0.0,0.0,0.0,0.0,0.0189873417721519,0.9810126582278481,0.0,0.0,0.0
SXF,NORTH AFRICA,2016,SXF → NORTH AFRICA,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,NORTH AFRICA,2017,SXF → NORTH AFRICA,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,NORTH AFRICA,2018,SXF → NORTH AFRICA,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,NORTH AFRICA,2019,SXF → NORTH AFRICA,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,WESTERN EUROPE,2015,SXF → WESTERN EUROPE,10.0,71.0,12683.0,0.0,738.0,0.0,0.0007406310176270182,0.00525848022515183,0.9393423196563472,0.0,0.054658569100873945,0.0
SXF,WESTERN EUROPE,2016,SXF → WESTERN EUROPE,0.0,434.0,18228.0,0.0,369.0,0.0,0.0,0.022804897272870578,0.9578056854605643,0.0,0.019389417266565078,0.0
SXF,WESTERN EUROPE,2017,SXF → WESTERN EUROPE,0.0,0.0,19663.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,WESTERN EUROPE,2018,SXF → WESTERN EUROPE,0.0,0.0,18565.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SXF,WESTERN EUROPE,2019,SXF → WESTERN EUROPE,0.0,0.0,15112.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TXL,EASTERN EUROPE,2015,TXL → EASTERN EUROPE,3135.0,1009.0,229.0,0.0,2620.0,0.0,0.44830544830544833,0.1442871442871443,0.03274703274703275,0.0,0.37466037466037466,0.0
TXL,EASTERN EUROPE,2016,TXL → EASTERN EUROPE,2557.0,783.0,617.0,0.0,2746.0,0.0,0.3814709831418768,0.11681336714903774,0.09204833656571684,0.0,0.4096673131433686,0.0
TXL,EASTERN EUROPE,2017,TXL → EASTERN EUROPE,3061.0,697.0,185.0,0.0,2567.0,89.0,0.4638581603273223,0.10562206394908319,0.028034550689498408,0.0,0.3889983330807698,0.01348689195332626
